name,description,category,price,estimated_cost
Crispy Chicken Sandwich,"Buttermilk-brined thigh, pickles, herb mayo, brioche.",Sandwiches,13.50,4.10
Nashville Hot Chicken Sandwich,"Cayenne-lacquered thigh, slaw, brioche.",Sandwiches,14.25,4.45
Buttermilk Fried Chicken Tenders,"Three tenders, honey mustard.",Plates,11.75,3.60
Classic Cheeseburger,"Quarter-pound patty, cheddar, griddled onion.",Sandwiches,12.50,4.20
Smoked Brisket Sandwich,"Twelve-hour brisket, pickles, white bread.",Sandwiches,16.00,6.10
Loaded Waffle Fries,"Queso, scallion, pickled jalapeno.",Sides,8.25,2.05
Buffalo Wings (8 pc),"Fried wings tossed in buffalo, ranch on the side.",Plates,13.00,4.80
Street Corn Elote Cup,"Charred corn, cotija, lime, chili salt.",Sides,6.50,1.65
Kale Caesar Salad,"Tuscan kale, parmesan, sourdough crumb.",Salads,10.50,2.90
Matcha Latte,"Ceremonial-grade matcha, oat milk.",Drinks,5.75,1.35
Horchata Cold Brew,"Cold brew cut with cinnamon rice milk.",Drinks,5.25,1.10
Brown Butter Chocolate Chip Cookie,"Browned butter, sea salt, bittersweet chocolate.",Desserts,3.75,0.72
